  Packet #,    ADC,      Pitch,       Roll,        Yaw,   AccX,   AccY,   AccZ,  GyroX,  GyroY,  GyroZ,   MagX,   MagY,   MagZ,   Temp
     39873,    196,     45.695,    -13.939,    115.492,  -1997,    108,    197,   -329, -11187,   -263,    -28,   1891,   -790,   3096
     39874,    197,     41.133,    -13.038,    117.189,  -1983,     91,    249,   -342, -11197,   -238,     14,   1833,   -721,   3096
     39875,    195,     36.528,    -12.382,    118.669,  -1946,     60,    329,   -326, -11222,   -263,     28,   1631,   -471,   3095
     39876,    197,     31.893,    -11.852,    120.038,  -1894,     86,    482,   -336, -11239,   -260,    -21,   1393,   -256,   3096
     39877,    195,     27.128,    -11.507,    121.318,  -1764,     35,    684,   -342, -11263,   -241,     93,   1075,   -131,   3093
     39878,    197,     22.285,    -11.229,    122.531,  -1542,     87,    885,   -343, -11290,   -284,     71,    750,    -41,   3096
     39879,    192,     17.398,    -11.103,    123.692,  -1225,     46,   1012,   -337, -11328,   -237,     79,    469,   -104,   3094
     39880,    194,     12.469,    -11.101,    124.812,   -851,     73,   1033,   -343, -11371,   -267,    122,    209,   -104,   3097
     39881,    197,      7.605,    -11.336,    125.915,   -473,     65,    930,   -341, -11398,   -226,     71,    -43,   -138,   3098
     39882,    198,      2.826,    -12.083,    127.011,   -191,     53,    690,   -348, -11412,   -264,    179,   -267,   -381,   3097
     39883,    194,     -1.902,    -12.968,    128.194,    -98,     85,    560,   -328, -11408,   -276,    122,   -339,   -478,   3094
     39884,    197,     -7.369,    -14.249,    129.621,     16,     32,    320,   -332, -11397,   -228,    223,   -512,   -686,   3096
     39885,    196,    -13.116,    -15.543,    131.195,      8,     30,     64,   -329, -11386,   -285,    129,   -635,   -901,   3094
     39886,    199,    -18.882,    -17.059,    133.025,    -29,      6,    -80,   -320, -11355,   -249,    158,   -664,  -1179,   3095
     39887,    197,    -24.319,    -18.943,    135.054,    -88,    -16,   -150,   -336, -11325,   -271,    187,   -534,  -1387,   3097
     39888,    194,    -29.664,    -21.111,    137.219,   -106,     16,   -237,   -341, -11303,   -276,    122,   -498,  -1685,   3097
     39889,    196,    -34.774,    -24.014,    139.421,   -160,    -36,   -416,   -329, -11294,   -247,    151,   -238,  -1907,   3094
     39890,    194,    -41.045,    -27.573,    141.777,   -235,     17,   -577,   -325, -11278,   -289,    115,     43,  -2136,   3095
     39891,    197,    -48.470,    -32.323,    145.756,   -419,      2,   -780,   -338, -11265,   -240,     57,    389,  -2247,   3095
     39892,    193,    -55.961,    -39.385,    152.410,   -556,    -15,   -890,   -326, -11257,   -245,     35,    526,  -2296,   3097
     39893,    195,    -62.779,    -50.230,    163.199,   -876,     76,   -990,   -332, -11234,   -256,     14,    794,  -2275,   3092
     39894,    196,    -67.847,    -67.269,   -179.523,  -1229,     47,   -975,   -333, -11214,   -201,      0,   1183,  -2233,   3095
     39895,    197,    -70.075,    -90.863,   -155.563,  -1589,    119,   -890,   -325, -11192,   -296,     -7,   1378,  -2102,   3094
     39896,    198,    -68.525,   -114.626,   -131.292,  -1842,    141,   -673,   -315, -11177,   -222,    -79,   1624,  -1977,   3094
     39897,    198,    -64.187,   -132.090,   -113.223,  -2020,     74,   -447,   -325, -11170,   -256,      7,   1783,  -1824,   3094
     39898,    193,    -58.228,   -143.389,   -101.271,  -2083,    154,   -211,   -335, -11167,   -274,    -50,   1927,  -1547,   3095
     39899,    196,    -51.346,   -150.572,    -93.371,  -2046,     71,    -23,   -318, -11180,   -221,    -57,   1992,  -1248,   3097
     39900,    194,    -44.008,   -155.535,    -87.655,  -2000,    103,     94,   -332, -11195,   -284,    -28,   1977,   -971,   3097
     39901,    192,    -36.412,   -159.022,    -83.369,  -1973,     77,    183,   -343, -11214,   -225,     -7,   1941,   -825,   3096
     39902,    196,    -28.598,   -161.514,    -80.004,  -1955,     51,    230,   -336, -11220,   -237,    -50,   1696,   -659,   3096
     39903,    198,    -20.674,   -163.498,    -77.118,  -1953,     87,    358,   -341, -11236,   -286,      0,   1588,   -360,   3095
     39904,    194,    -12.649,   -164.984,    -74.674,  -1879,     59,    548,   -337, -11258,   -235,     43,   1284,   -222,   3095
     39905,    197,     -4.602,   -166.104,    -72.470,  -1709,     62,    783,   -341, -11282,   -278,     50,   1032,   -104,   3095
     39906,    196,      3.495,   -166.910,    -70.461,  -1472,     80,    972,   -336, -11321,   -255,     64,    685,   -104,   3095
     39907,    196,     11.594,   -167.407,    -68.505,  -1128,     48,   1058,   -352, -11360,   -263,     50,    469,    -48,   3097
     39908,    197,     19.750,   -167.643,    -66.601,   -743,     74,   1010,   -336, -11402,   -240,    100,     86,   -124,   3095
     39909,    197,     27.773,   -167.527,    -64.522,   -411,     39,    852,   -333, -11425,   -243,    143,    -86,   -222,   3096
     39910,    194,     35.288,   -167.197,    -62.285,   -171,     73,    627,   -329, -11431,   -265,    136,   -310,   -395,   3097
     39911,    196,     41.991,   -166.601,    -59.792,    -87,     47,    478,   -319, -11437,   -236,    100,   -404,   -513,   3094
     39912,    197,     47.846,   -165.978,    -57.216,    -37,     17,    262,   -321, -11425,   -261,    187,   -577,   -777,   3095
     39913,    193,     53.320,   -165.345,    -54.591,    -70,     45,     74,   -335, -11399,   -270,    158,   -649,   -985,   3096
     39914,    199,     58.503,   -164.056,    -51.240,    -87,    -35,    -46,   -343, -11371,   -250,    165,   -541,  -1241,   3094
     39915,    196,     63.488,   -162.202,    -47.379,   -125,     20,   -142,   -327, -11349,   -290,    115,   -577,  -1456,   3096
     39916,    199,     68.241,   -158.683,    -41.761,   -135,    -21,   -281,   -326, -11341,   -249,    107,   -411,  -1755,   3094
     39917,    194,     72.741,   -151.403,    -32.351,   -156,    -21,   -450,   -339, -11329,   -280,    100,   -202,  -1956,   3097
     39918,    198,     76.691,   -137.201,    -16.542,   -277,      6,   -670,   -345, -11316,   -256,     21,     79,  -2102,   3096
     39919,    193,     79.219,   -112.594,      9.226,   -485,      3,   -900,   -341, -11301,   -255,     71,    332,  -2247,   3093
     39920,    198,     79.461,    -80.847,     41.986,   -636,     38,   -962,   -341, -11289,   -266,     43,    476,  -2261,   3093
     39921,    197,     77.487,    -55.214,     68.538,   -963,     54,  -1041,   -335, -11267,   -208,     43,    808,  -2220,   3095
     39922,    198,     74.201,    -39.855,     84.727,  -1350,     46,  -1013,   -332, -11244,   -259,    -28,   1212,  -2192,   3097
     39923,    193,     70.322,    -30.506,     94.838,  -1679,    159,   -861,   -310, -11227,   -266,    -79,   1523,  -2102,   3095
